SampleID,Spike_in_label,Sample_type,Spike_in_ratio,Replicate,Spike_in_name,Bam_file,Preprocessed,Bam_file_tumor,Preprocessed_tumor
1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0,Breast,cfDNA,5.0,0,5-ZNB031SR1ME131W_M553-M753,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0.tumor.bam.filtered.bam.*
36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_11-ZMG052SR1ME131W_M559-M759_label_Gastric_replicate_0,Gastric,cfDNA,0.1,0,11-ZMG052SR1ME131W_M559-M759,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_11-ZMG052SR1ME131W_M559-M759_label_Gastric_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_11-ZMG052SR1ME131W_M559-M759_label_Gastric_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_11-ZMG052SR1ME131W_M559-M759_label_Gastric_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_11-ZMG052SR1ME131W_M559-M759_label_Gastric_replicate_0.tumor.bam.filtered.bam.*
17-K1007SR1ME131W_M565-M765_spike_in__001_from_ZNL08S_label_Lung_replicate_0,Lung,cfDNA,1.0,0,ZNL08S,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/17-K1007SR1ME131W_M565-M765_spike_in__001_from_ZNL08S_label_Lung_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/17-K1007SR1ME131W_M565-M765_spike_in__001_from_ZNL08S_label_Lung_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/17-K1007SR1ME131W_M565-M765_spike_in__001_from_ZNL08S_label_Lung_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/17-K1007SR1ME131W_M565-M765_spike_in__001_from_ZNL08S_label_Lung_replicate_0.tumor.bam.filtered.bam.*
1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0,Breast,cfDNA,5.0,0,2-ZNB20SME131W_M511-M711,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0.tumor.bam.filtered.bam.*
1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_ZNL08S_label_Lung_replicate_0,Lung,cfDNA,5.0,0,ZNL08S,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_ZNL08S_label_Lung_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_ZNL08S_label_Lung_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_ZNL08S_label_Lung_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/1-CONTROLCF3ME131W_M504-M704_spike_in__005_from_ZNL08S_label_Lung_replicate_0.tumor.bam.filtered.bam.*
36-CONTROLCF1R1ME131W_M523-M723_spike_in__001_from_1-ZNB12SME131W_M549-M749_label_Breast_replicate_0,Breast,cfDNA,1.0,0,1-ZNB12SME131W_M549-M749,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/36-CONTROLCF1R1ME131W_M523-M723_spike_in__001_from_1-ZNB12SME131W_M549-M749_label_Breast_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/36-CONTROLCF1R1ME131W_M523-M723_spike_in__001_from_1-ZNB12SME131W_M549-M749_label_Breast_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/36-CONTROLCF1R1ME131W_M523-M723_spike_in__001_from_1-ZNB12SME131W_M549-M749_label_Breast_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/36-CONTROLCF1R1ME131W_M523-M723_spike_in__001_from_1-ZNB12SME131W_M549-M749_label_Breast_replicate_0.tumor.bam.filtered.bam.*
1-CONTROLCF3ME131W_M504-M704_spike_in__001_from_ZMG051S_label_Gastric_replicate_0,Gastric,cfDNA,1.0,0,ZMG051S,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/1-CONTROLCF3ME131W_M504-M704_spike_in__001_from_ZMG051S_label_Gastric_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/1-CONTROLCF3ME131W_M504-M704_spike_in__001_from_ZMG051S_label_Gastric_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/1-CONTROLCF3ME131W_M504-M704_spike_in__001_from_ZMG051S_label_Gastric_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/1-CONTROLCF3ME131W_M504-M704_spike_in__001_from_ZMG051S_label_Gastric_replicate_0.tumor.bam.filtered.bam.*
36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_13-ZNL09SME131W_M561-M761_label_Lung_replicate_0,Lung,cfDNA,0.1,0,13-ZNL09SME131W_M561-M761,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_13-ZNL09SME131W_M561-M761_label_Lung_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_13-ZNL09SME131W_M561-M761_label_Lung_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_13-ZNL09SME131W_M561-M761_label_Lung_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/36-CONTROLCF1R1ME131W_M523-M723_spike_in__0001_from_13-ZNL09SME131W_M561-M761_label_Lung_replicate_0.tumor.bam.filtered.bam.*
17-K1007SR1ME131W_M565-M765_spike_in__01_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0,Breast,cfDNA,10.0,0,5-ZNB031SR1ME131W_M553-M753,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/17-K1007SR1ME131W_M565-M765_spike_in__01_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/17-K1007SR1ME131W_M565-M765_spike_in__01_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/17-K1007SR1ME131W_M565-M765_spike_in__01_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/17-K1007SR1ME131W_M565-M765_spike_in__01_from_5-ZNB031SR1ME131W_M553-M753_label_Breast_replicate_0.tumor.bam.filtered.bam.*
36-CONTROLCF1R1ME131W_M523-M723_spike_in__01_from_ZNL08S_label_Lung_replicate_0,Lung,cfDNA,10.0,0,ZNL08S,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/36-CONTROLCF1R1ME131W_M523-M723_spike_in__01_from_ZNL08S_label_Lung_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/36-CONTROLCF1R1ME131W_M523-M723_spike_in__01_from_ZNL08S_label_Lung_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/36-CONTROLCF1R1ME131W_M523-M723_spike_in__01_from_ZNL08S_label_Lung_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/36-CONTROLCF1R1ME131W_M523-M723_spike_in__01_from_ZNL08S_label_Lung_replicate_0.tumor.bam.filtered.bam.*
17-K1007SR1ME131W_M565-M765_spike_in__01_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0,Breast,cfDNA,10.0,0,2-ZNB20SME131W_M511-M711,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/17-K1007SR1ME131W_M565-M765_spike_in__01_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0.sorted.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/17-K1007SR1ME131W_M565-M765_spike_in__01_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0.sorted.bam.filtered.bam.*,/mnt/archiving/DATA_HIEUNHO/Spike_in/110424_cfDNA_highdepth_spike_in/01_Subsampling_merge_sort_index/17-K1007SR1ME131W_M565-M765_spike_in__01_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0.tumor.bam,/mnt/archiving/DATA_HIEUNHO/preprocessing_pipeline_for_kmer_at_CpG_sites/110424_spike_in_silico/02_truncated_reads_at_CpG_sites_modify/17-K1007SR1ME131W_M565-M765_spike_in__01_from_2-ZNB20SME131W_M511-M711_label_Breast_replicate_0.tumor.bam.filtered.bam.*
